source,category,title,content,images,raw_data
voyage_maroc,general,Les tapis marocains,"Dans les régions de Rabat, Fès et Tétouan, une panoplie de produits d’artisanat marocain s’offrent à vous dont les tapis qui sont à l'honneur dans les médinas. Des motifs originaux et complexes, tantôt en centre tantôt aux bords selon les usages, qui suscitent une grande réflexion portant sur leurs conceptions. Au Maroc, la valeur d’un tapis est étroitement liée aux nombres de nœuds et des dessins qui le composent, encore faut-il distinguer le tapis citadin du rural !",[],"{'catégorie': 'tapis', 'titre': 'Les tapis marocains', 'description': ""Dans les régions de Rabat, Fès et Tétouan, une panoplie de produits d’artisanat marocain s’offrent à vous dont les tapis qui sont à l'honneur dans les médinas. Des motifs originaux et complexes, tantôt en centre tantôt aux bords selon les usages, qui suscitent une grande réflexion portant sur leurs conceptions. Au Maroc, la valeur d’un tapis est étroitement liée aux nombres de nœuds et des dessins qui le composent, encore faut-il distinguer le tapis citadin du rural !"", 'source': 'https://www.visitmorocco.com/fr/decouvrir-le-maroc/artisanat-traditionnel-revisite'}"
voyage_maroc,general,Les habits traditionnels,"Les habits traditionnels, encore de mise lors des fêtes et cérémonies, adoptent aujourd'hui un style novateur. Essayez sans attendre le fameux caftan ! Les babouches sont également un symbole de l'habillement marocain typique. Cette mode se décline aujourd'hui sous toutes les coutures et de nombreux créateurs proposent des modèles particulièrement design et contemporains !",[],"{'catégorie': 'caftan', 'titre': 'Les habits traditionnels', 'description': ""Les habits traditionnels, encore de mise lors des fêtes et cérémonies, adoptent aujourd'hui un style novateur. Essayez sans attendre le fameux caftan ! Les babouches sont également un symbole de l'habillement marocain typique. Cette mode se décline aujourd'hui sous toutes les coutures et de nombreux créateurs proposent des modèles particulièrement design et contemporains !"", 'source': 'https://www.visitmorocco.com/fr/decouvrir-le-maroc/artisanat-traditionnel-revisite'}"
voyage_maroc,general,Les bijoux,"Vous voulez rentrer chez vous avec des bijoux originaux faits main ? Marrakech et ses environs regorgent de bijoux traditionnels somptueux ! Vous les trouverez entre autres, dans la médina attenante à la place Jemaa El Fna. De nombreux bijoux en argent sont également produits dans des villes telles que Goulimine, Agadir, Essaouira, Tiznit ou encore Taroudant. En or ou en argent, ils sont réalisés par des artisans et vendus aux souks des anciennes médinas.",[],"{'catégorie': 'bijoux', 'titre': 'Les bijoux', 'description': 'Vous voulez rentrer chez vous avec des bijoux originaux faits main ? Marrakech et ses environs regorgent de bijoux traditionnels somptueux ! Vous les trouverez entre autres, dans la médina attenante à la place Jemaa El Fna. De nombreux bijoux en argent sont également produits dans des villes telles que Goulimine, Agadir, Essaouira, Tiznit ou encore Taroudant. En or ou en argent, ils sont réalisés par des artisans et vendus aux souks des anciennes médinas.', 'source': 'https://www.visitmorocco.com/fr/decouvrir-le-maroc/artisanat-traditionnel-revisite'}"
voyage_maroc,general,La céramique et la poterie,"À Rabat, les poteries illustrent l'entremêlement de la culture Amazigh et andalou. La céramique marque aussi sa présence. Les formes et les couleurs utilisées varient selon les régions : les motifs bleus à Fès, les jaunes à Safi et les verts à Meknès. Rendez-vous à Safi pour découvrir des poteries uniques en leur genre, multicolores. À Azemmour, les femmes artisanes ont leur propre structure. À Salé, ne manquez pas de visiter le complexe des potiers, l'Oulja.",[],"{'catégorie': 'poterie', 'titre': 'La céramique et la poterie', 'description': ""À Rabat, les poteries illustrent l'entremêlement de la culture Amazigh et andalou. La céramique marque aussi sa présence. Les formes et les couleurs utilisées varient selon les régions : les motifs bleus à Fès, les jaunes à Safi et les verts à Meknès. Rendez-vous à Safi pour découvrir des poteries uniques en leur genre, multicolores. À Azemmour, les femmes artisanes ont leur propre structure. À Salé, ne manquez pas de visiter le complexe des potiers, l'Oulja."", 'liens': 'https://www.visitmorocco.com/fr/node/142', 'source': 'https://www.visitmorocco.com/fr/decouvrir-le-maroc/artisanat-traditionnel-revisite'}"
voyage_maroc,general,Le fer forgé,"À Marrakech, Fès ou Safi, vous pourrez découvrir des icônes du travail du fer forgé marocain: chandeliers, lanternes, miroirs ou encore abats jours s’intégreront parfaitement dans vos intérieurs. De magnifiques objets tressés en osier et raphia et palmier vous attendent à Fès, Marrakech ou encore Salé.",[],"{'catégorie': 'métal', 'titre': 'Le fer forgé', 'description': 'À Marrakech, Fès ou Safi, vous pourrez découvrir des icônes du travail du fer forgé marocain: chandeliers, lanternes, miroirs ou encore abats jours s’intégreront parfaitement dans vos intérieurs. De magnifiques objets tressés en osier et raphia et palmier vous attendent à Fès, Marrakech ou encore Salé.', 'source': 'https://www.visitmorocco.com/fr/decouvrir-le-maroc/artisanat-traditionnel-revisite'}"
voyage_maroc,general,La Marqueterie et le Thuya,"À Essaouira, vous pourrez vous procurer des objets en Thuya, un bois précieux de l'Atlas. Depuis des siècles, la décoration en bois est une spécialité marocaine artisanale qui a bien su sa place dans le monde de la décoration. Dans la même veine, c'est la marqueterie, décorations en plaques de bois typiques, que vous pourrez retrouver un peu partout au Maroc.",[],"{'catégorie': 'bois', 'titre': 'La Marqueterie et le Thuya', 'description': ""À Essaouira, vous pourrez vous procurer des objets en Thuya, un bois précieux de l'Atlas. Depuis des siècles, la décoration en bois est une spécialité marocaine artisanale qui a bien su sa place dans le monde de la décoration. Dans la même veine, c'est la marqueterie, décorations en plaques de bois typiques, que vous pourrez retrouver un peu partout au Maroc."", 'source': 'https://www.visitmorocco.com/fr/decouvrir-le-maroc/artisanat-traditionnel-revisite'}"
voyage_maroc,general,Le plâtre et le zellige,"Quant aux créations en plâtre, elles sont visibles, entre autres, dans les riads. Il s'agit d'un élément incontournable de l'architecture marocaine. Autre art caractéristique du Maroc : le zellige. À travers tout le pays, retrouvez ces mosaïques sur des objets traditionnels ou utilisées dans des créations novatrices ! La capitale marocaine du zellige ? C'est sans aucun doute la cité de Fès ! Achetez une multitude de merveilles dans ses petites boutiques typiques.",[],"{'catégorie': 'zellige', 'titre': 'Le plâtre et le zellige', 'description': ""Quant aux créations en plâtre, elles sont visibles, entre autres, dans les riads. Il s'agit d'un élément incontournable de l'architecture marocaine. Autre art caractéristique du Maroc : le zellige. À travers tout le pays, retrouvez ces mosaïques sur des objets traditionnels ou utilisées dans des créations novatrices ! La capitale marocaine du zellige ? C'est sans aucun doute la cité de Fès ! Achetez une multitude de merveilles dans ses petites boutiques typiques."", 'source': 'https://www.visitmorocco.com/fr/decouvrir-le-maroc/artisanat-traditionnel-revisite'}"
voyage_maroc,general,La dinanderie,"À Fès, Marrakech et Tétouan, la dinanderie est à l'honneur : cadres, pots, heurtoirs, lampes et bien d'autres objets sont finement travaillés sur du cuivre, de l'argent ou du laiton. Des designers marocains connus et reconnus internationalement se sont approprié ces objets et il en existe aujourd'hui des versions modernes.",[],"{'catégorie': 'métal', 'titre': 'La dinanderie', 'description': ""À Fès, Marrakech et Tétouan, la dinanderie est à l'honneur : cadres, pots, heurtoirs, lampes et bien d'autres objets sont finement travaillés sur du cuivre, de l'argent ou du laiton. Des designers marocains connus et reconnus internationalement se sont approprié ces objets et il en existe aujourd'hui des versions modernes."", 'source': 'https://www.visitmorocco.com/fr/decouvrir-le-maroc/artisanat-traditionnel-revisite'}"
voyage_maroc,general,"Tannerie, cuir et maroquinerie","Dans les anciennes médinas du Maroc, plus particulièrement dans celle de Fès, les objets en cuir bombardent les souks. Provenant des tanneries antiques ressemblant à une palette d’aquarelles, les tanneries de Fès est le lieu de traitement des peaux de vaches, de boucs et de chèvres pour servir aux produits de maroquinerie. Manteaux, souliers, sacs et chaussures… ce sont de véritables icones de l’artisanat traditionnel.",[],"{'catégorie': 'cuir', 'titre': 'Tannerie, cuir et maroquinerie', 'description': 'Dans les anciennes médinas du Maroc, plus particulièrement dans celle de Fès, les objets en cuir bombardent les souks. Provenant des tanneries antiques ressemblant à une palette d’aquarelles, les tanneries de Fès est le lieu de traitement des peaux de vaches, de boucs et de chèvres pour servir aux produits de maroquinerie. Manteaux, souliers, sacs et chaussures… ce sont de véritables icones de l’artisanat traditionnel.', 'source': 'https://www.visitmorocco.com/fr/decouvrir-le-maroc/artisanat-traditionnel-revisite'}"
terra_maroc,histoire,Sans titre,,[],"{'titre_principal': 'L’artisanat au Maroc : histoire et savoir-faire', 'introduction': '', 'sections_historiques': [{'sous_titre': 'Les racines et les influences de l’artisanat marocain', 'contenu': 'L’artisanat marocain puise ses origines dans une histoire riche et millénaire remontant à plusieurs siècles. La tradition artisanale au Maroc s’est développée au fil du temps et a été influencée par diverses civilisations et cultures qui ont marqué le pays.\nCertaines techniques artisanales, comme le tissage et la poterie, ont des racines ancestrales remontant à l’époque préislamique, où les tribus berbères utilisaient déjà ces savoir-faire pour créer des objets utilitaires et décoratifs. L’artisanat marocain a ensuite été enrichi par l’arrivée de différentes civilisations et dynasties, notamment les Phéniciens, les Romains, les Arabes et les Andalous.\nCependant, c’est à partir du IXe siècle, avec l’arrivée de la dynastie idrisside, que l’artisanat marocain commence à être structuré et organisé. Les souks et les médinas, qui sont devenus les centres de l’artisanat, ont commencé à se développer sous l’influence des Almoravides et des Almohades au XIe et XIIe siècles.\nAu cours des siècles suivants, les différentes dynasties qui se sont succédé au Maroc, telles que les Mérinides et les Saadiens, ont continué à encourager et à promouvoir l’artisanat en développant de nouvelles techniques et en enrichissant les motifs et les styles.\nL’apogée de l’artisanat marocain a eu lieu sous la dynastie Alaouite, qui règne sur le Maroc depuis le XVIIe siècle jusqu’à nos jours. Les sultans Alaouites ont soutenu et encouragé les artisans, faisant de l’artisanat un véritable symbole de la culture marocaine.'}, {'sous_titre': 'Voyage au Maroc à la rencontre des artisans', 'contenu': '- 15 jours\n- En immersion'}, {'sous_titre': 'Des compétences transmises de génération en génération', 'contenu': 'Les compétences artisanales ont été transmises de génération en génération, au sein de familles ou de confréries d’artisans. Ce savoir-faire séculaire s’est ainsi perpétué, préservant les techniques traditionnelles tout en s’adaptant aux influences culturelles extérieures. Chaque région du Maroc a développé ses spécificités artisanales, donnant naissance à une incroyable diversité de productions.\nL’artisanat occupe une place centrale dans la vie des Marocains, tant du point de vue économique que culturel. Il est à la fois un moyen de subsistance pour de nombreux artisans et un véritable vecteur d’expression de l’identité marocaine. Chaque pièce artisanale est le fruit d’un travail minutieux, où se mêlent créativité, sens esthétique et savoir-faire technique. Les motifs, les couleurs et les formes racontent l’histoire des différentes régions du Maroc, reflétant les particularités géographiques et culturelles de chaque territoire.\nAu-delà de sa dimension économique, l’artisanat marocain joue également un rôle essentiel dans la transmission des traditions et du patrimoine culturel. En préservant les techniques ancestrales, les artisans contribuent à la sauvegarde du patrimoine immatériel du pays. Chaque pièce artisanale est porteuse d’une histoire, d’un savoir-faire transmis de génération en génération. En acquérant une pièce artisanale marocaine, on s’approprie une part de cette histoire et l’on participe à la valorisation d’un patrimoine culturel d’exception.\nL’artisanat marocain se révèle être un vecteur de fierté pour les communautés locales et pour tout le pays. Il est une vitrine de l’authenticité du Maroc, suscitant l’admiration et l’émerveillement des visiteurs venus des quatre coins du monde. Chaque année, de nombreux touristes se rendent au Maroc pour découvrir l’artisanat traditionnel, témoignage vivant de l’identité culturelle du pays.\nEn perpétuant ces traditions, les artisans marocains s’inscrivent dans une démarche de préservation et de transmission des savoirs. Ils contribuent ainsi à assurer la pérennité de l’artisanat marocain et à garantir son rayonnement à travers le temps. En soutenant l’artisanat local, les visiteurs et les amateurs d’art participent à cette démarche de préservation et d’enrichissement du patrimoine culturel du Maroc.'}, {'sous_titre': 'Spécialités artisanales locales incontournables', 'contenu': 'La broderie de Fès, également connue sous le nom de « Fassi », est une forme d’artisanat hautement raffinée originaire de la ville de Fès, réputée pour son artisanat prestigieux. Cette technique de broderie est réalisée à la main avec minutie, utilisant des motifs traditionnels et des fils colorés. Les broderies fassi sont souvent appliquées sur des vêtements, des coussins, des couvertures et des articles de maison. La broderie de Fès est un véritable symbole d’élégance et de sophistication, témoignant de la richesse culturelle de la ville.'}, {'sous_titre': 'Vous préparez un voyage au Maroc ?', 'contenu': 'Contactez-nous pour un itinéraire sur mesure !'}], 'source': 'https://terra-maroc.com/artisanat/histoire-savoir-faire'}"
